"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"57","motion",0.86655,0.716791666666667,0.766473684210526,0.742,0.826888888888889,0.7666,0.822421052631579,0.704125,0.833333333333333,1,0.791666666666667,0.708333333333333,0.75,0.625,0.791666666666667,0.333333333333333
"58","motion",0.637052631578947,0.617,0.709421052631579,0.8,0.73625,0.659933333333333,0.755727272727273,0.705733333333333,0.791666666666667,0.826086956521739,0.791666666666667,0.625,0.833333333333333,0.625,0.478260869565217,0.625
"59","motion",0.562190476190476,0.61985,0.602294117647059,0.707533333333333,0.67225,0.618230769230769,0.810235294117647,0.6252,0.875,0.833333333333333,0.708333333333333,0.625,0.666666666666667,0.541666666666667,0.708333333333333,0.625
"60","motion",0.810947368421053,0.826818181818182,0.878,0.752384615384615,0.858529411764706,0.731583333333333,0.89005,0.867466666666667,0.791666666666667,0.458333333333333,0.708333333333333,0.541666666666667,0.708333333333333,0.5,0.833333333333333,0.625
"61","motion",0.958833333333333,0.904166666666667,0.893583333333333,0.93725,0.972714285714286,0.885714285714286,0.9391,0.963526315789474,0.782608695652174,0.75,0.5,0.833333333333333,0.583333333333333,0.875,0.416666666666667,0.791666666666667
"62","motion",0.9022,0.92685,0.872523809523809,0.905384615384615,0.896590909090909,0.91725,0.942294117647059,0.983666666666667,0.833333333333333,0.833333333333333,0.875,0.541666666666667,0.916666666666667,0.666666666666667,0.708333333333333,0.625
"63","motion",0.7962,0.71825,0.854625,0.772647058823529,0.891705882352941,0.715176470588235,0.864611111111111,0.776846153846154,0.625,0.833333333333333,0.666666666666667,0.708333333333333,0.708333333333333,0.708333333333333,0.75,0.541666666666667
"64","motion",0.576478260869565,0.615666666666667,0.602695652173913,0.567333333333333,0.631421052631579,0.567272727272727,0.573583333333333,0.662181818181818,1,0.782608695652174,0.958333333333333,0.5,0.791666666666667,0.478260869565217,0.521739130434783,0.478260869565217
"65","motion",0.749666666666667,0.7093,0.787941176470588,0.615315789473684,0.715733333333333,0.812631578947368,0.828642857142857,0.715,0.75,0.833333333333333,0.708333333333333,0.791666666666667,0.625,0.791666666666667,0.583333333333333,0.458333333333333
"66","motion",0.769647058823529,0.81585,0.800636363636364,0.776777777777778,0.866133333333333,0.837866666666667,0.7985,0.966071428571429,0.708333333333333,0.833333333333333,0.458333333333333,0.75,0.625,0.625,0.583333333333333,0.583333333333333
"67","motion",0.802076923076923,0.746,0.825,0.703470588235294,0.861642857142857,0.7318,0.939833333333333,0.715333333333333,0.65,0.904761904761905,0.478260869565217,0.772727272727273,0.583333333333333,0.833333333333333,0.545454545454545,0.625
"68","motion",0.77295,0.908055555555556,0.907611111111111,0.92845,0.915380952380952,0.900611111111111,0.948411764705882,1.123125,0.833333333333333,0.75,0.75,0.833333333333333,0.875,0.75,0.708333333333333,0.333333333333333
"69","motion",0.860133333333333,0.802263157894737,0.991823529411765,0.792555555555556,0.849,0.881052631578947,0.945692307692308,0.869733333333333,0.625,0.791666666666667,0.708333333333333,0.75,0.583333333333333,0.791666666666667,0.541666666666667,0.652173913043478
"70","motion",0.865944444444444,0.974764705882353,0.88875,1.07566666666667,0.886266666666667,1.03347058823529,0.943555555555556,0.9832,0.75,0.708333333333333,0.666666666666667,0.625,0.625,0.708333333333333,0.75,0.416666666666667
