"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"87",0.875,1.05461904761905,"other",2,"easy","color"
"87",0.854166666666667,1.0209756097561,"self",2,"easy","color"
"87",0.791666666666667,1.10255263157895,"other",3,"difficult","color"
"87",0.666666666666667,1.19359375,"self",3,"difficult","color"
"87",0.604166666666667,1.10465517241379,"other",4,"very difficult","color"
"87",0.520833333333333,1.13048,"self",4,"very difficult","color"
"88",0.979166666666667,1.29265957446809,"other",1,"very easy","color"
"88",0.958333333333333,1.11839130434783,"self",1,"very easy","color"
"88",0.787234042553192,1.44613513513514,"other",2,"easy","color"
"88",0.957446808510638,1.1876,"self",2,"easy","color"
"88",0.5625,1.60725925925926,"other",3,"difficult","color"
"88",0.770833333333333,1.31313513513514,"self",3,"difficult","color"
"88",0.395833333333333,1.57221052631579,"other",4,"very difficult","color"
"88",0.770833333333333,1.33478378378378,"self",4,"very difficult","color"
"89",0.869565217391304,1.5434,"other",1,"very easy","color"
"89",1,1.344625,"self",1,"very easy","color"
"89",0.545454545454545,1.89491666666667,"other",2,"easy","color"
"89",1,1.38448888888889,"self",2,"easy","color"
"89",0.581395348837209,1.87424,"other",3,"difficult","color"
"89",0.933333333333333,1.3892380952381,"self",3,"difficult","color"
"89",0.5,1.71263636363636,"other",4,"very difficult","color"
"89",0.711111111111111,1.72321875,"self",4,"very difficult","color"
"90",0.958333333333333,1.30236956521739,"other",1,"very easy","color"
"90",0.74468085106383,1.49237142857143,"self",1,"very easy","color"
"90",0.854166666666667,1.37824390243902,"other",2,"easy","color"
"90",0.723404255319149,1.65273529411765,"self",2,"easy","color"
"90",0.916666666666667,1.50772727272727,"other",3,"difficult","color"
"90",0.4375,1.76261904761905,"self",3,"difficult","color"
"90",0.765957446808511,1.55616666666667,"other",4,"very difficult","color"
"90",0.25531914893617,1.68633333333333,"self",4,"very difficult","color"
"91",0.875,1.79859523809524,"other",1,"very easy","color"
"91",0.934782608695652,1.69525581395349,"self",1,"very easy","color"
"91",0.782608695652174,1.98263888888889,"other",2,"easy","color"
"91",0.893617021276596,1.81197619047619,"self",2,"easy","color"
"91",0.727272727272727,2.1659375,"other",3,"difficult","color"
"91",0.818181818181818,1.97636111111111,"self",3,"difficult","color"
"91",0.51219512195122,2.09709523809524,"other",4,"very difficult","color"
"91",0.6,2.06255555555556,"self",4,"very difficult","color"
"92",0.979166666666667,1.36821276595745,"other",1,"very easy","color"
"92",0.8125,1.54858974358974,"self",1,"very easy","color"
"92",0.895833333333333,1.49425581395349,"other",2,"easy","color"
"92",0.9375,1.67593333333333,"self",2,"easy","color"
"92",0.891304347826087,1.61331707317073,"other",3,"difficult","color"
"92",0.645833333333333,1.75174193548387,"self",3,"difficult","color"
"92",0.791666666666667,1.65794736842105,"other",4,"very difficult","color"
"92",0.659574468085106,1.71167741935484,"self",4,"very difficult","color"
"93",0.979166666666667,1.14342553191489,"other",1,"very easy","color"
"93",1,1.2271875,"self",1,"very easy","color"
"93",0.979166666666667,1.26957446808511,"other",2,"easy","color"
"93",0.895833333333333,1.40860465116279,"self",2,"easy","color"
"93",0.895833333333333,1.38553488372093,"other",3,"difficult","color"
"93",0.791666666666667,1.41781578947368,"self",3,"difficult","color"
"93",0.6875,1.62042424242424,"other",4,"very difficult","color"
"93",0.541666666666667,1.48115384615385,"self",4,"very difficult","color"
"94",0.958333333333333,1.07171739130435,"other",1,"very easy","color"
"94",0.979166666666667,1.04246808510638,"self",1,"very easy","color"
"94",0.666666666666667,1.19771875,"other",2,"easy","color"
"94",0.854166666666667,1.09780487804878,"self",2,"easy","color"
"94",0.458333333333333,1.23486363636364,"other",3,"difficult","color"
"94",0.833333333333333,1.209675,"self",3,"difficult","color"
"94",0.5625,1.21322222222222,"other",4,"very difficult","color"
"94",0.916666666666667,1.19075,"self",4,"very difficult","color"
"95",0.777777777777778,1.7624,"other",1,"very easy","color"
"95",0.895833333333333,1.57660465116279,"self",1,"very easy","color"
"95",0.782608695652174,1.926,"other",2,"easy","color"
"95",0.808510638297872,1.76655263157895,"self",2,"easy","color"
"95",0.369565217391304,1.94864705882353,"other",3,"difficult","color"
"95",0.804347826086957,1.83567567567568,"self",3,"difficult","color"
"95",0.468085106382979,2.05268181818182,"other",4,"very difficult","color"
"95",0.733333333333333,1.93087878787879,"self",4,"very difficult","color"
"96",0.895833333333333,0.978581395348837,"other",1,"very easy","color"
"96",0.916666666666667,0.948159090909091,"self",1,"very easy","color"
"96",0.8125,1.06033333333333,"other",2,"easy","color"
"96",0.791666666666667,1.05910526315789,"self",2,"easy","color"
"96",0.625,1.06723333333333,"other",3,"difficult","color"
"96",0.708333333333333,1.07614705882353,"self",3,"difficult","color"
"96",0.625,1.04356666666667,"other",4,"very difficult","color"
"96",0.645833333333333,1.10109677419355,"self",4,"very difficult","color"
"97",0.979166666666667,1.18721276595745,"other",1,"very easy","color"
"97",0.875,1.16383333333333,"self",1,"very easy","color"
"97",0.958333333333333,1.25473913043478,"other",2,"easy","color"
"97",0.916666666666667,1.24725,"self",2,"easy","color"
"97",0.666666666666667,1.28603125,"other",3,"difficult","color"
"97",0.782608695652174,1.38508333333333,"self",3,"difficult","color"
"97",0.723404255319149,1.42794117647059,"other",4,"very difficult","color"
"97",0.659574468085106,1.37116129032258,"self",4,"very difficult","color"
"98",1,0.944583333333333,"other",1,"very easy","color"
