"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"109",0.0675300647548566,-0.0741604010025063,2,"easy"
"109",0.156799259944496,-0.00733271202236718,3,"difficult"
"109",-0.108695652173913,0.0895158045977011,4,"very difficult"
"110",0,-0.0618749999999999,1,"very easy"
"110",-0.0416666666666667,-0.0169367588932805,2,"easy"
"110",0.145833333333333,-0.0755853658536585,3,"difficult"
"110",-0.0926418439716312,0.22404094292804,4,"very difficult"
"111",0.0625,0.156529322548028,1,"very easy"
"111",0.208333333333333,0.206946031746032,2,"easy"
"111",0.479166666666667,0.120325814536341,3,"difficult"
"111",0.4375,0.254636222910217,4,"very difficult"
"112",-0.0195035460992908,0.0115681818181819,1,"very easy"
"112",0.0679347826086957,0.0568138888888889,2,"easy"
"112",-0.0845410628019323,0.0619222972972973,3,"difficult"
"112",0.090307328605201,-0.123404285714286,4,"very difficult"
"113",-0.0208333333333334,0.0354589371980676,1,"very easy"
"113",0.0208333333333334,-0.0960824622531942,2,"easy"
"113",-0.0379278445883442,-0.0110674603174603,3,"difficult"
"113",0.0509751773049645,-0.151885941644562,4,"very difficult"
"114",0.0416666666666667,0.218659671015315,1,"very easy"
"114",0.072463768115942,0.215114285714286,2,"easy"
"114",0.31072695035461,0.152725741780273,3,"difficult"
"114",0.18218085106383,-0.00940529100529086,4,"very difficult"
"115",0.0625,0.0885730158730156,1,"very easy"
"115",0.3125,0.192466666666667,2,"easy"
"115",0.208333333333333,0.166612781954887,3,"difficult"
"115",0.25,0.199428108108108,4,"very difficult"
"116",0,-0.199095238095238,1,"very easy"
"116",-0.1875,-0.199525307797538,2,"easy"
"116",-0.291666666666667,-0.133566395663957,3,"difficult"
"116",-0.270833333333333,-0.0733461538461537,4,"very difficult"
"117",0,0.262914893617021,1,"very easy"
"117",0.0625,0.312507253384913,2,"easy"
"117",0.3125,0.514524621212121,3,"difficult"
"117",0.391400709219858,0.292731152204837,4,"very difficult"
"118",-0.132246376811594,-0.288002288329519,1,"very easy"
"118",-0.256205673758865,-0.147201581027668,2,"easy"
"118",-0.256648936170213,-0.168979861111111,3,"difficult"
"118",-0.17481884057971,-0.17429125,4,"very difficult"
"119",0.125,-0.0808989130434783,1,"very easy"
"119",-0.0208333333333334,-0.0119134727061556,2,"easy"
"119",-0.0208333333333334,-0.0494380952380953,3,"difficult"
"119",-0.125,-0.0431548821548822,4,"very difficult"
"120",-0.0647163120567377,-0.0107028985507245,1,"very easy"
"120",-0.104166666666667,0.030630192502533,2,"easy"
"120",0,-0.0288684210526318,3,"difficult"
"120",-0.0416666666666666,-0.15927619047619,4,"very difficult"
"121",0.144021739130435,0.0990827505827505,1,"very easy"
"121",0.164855072463768,0.160326555023923,2,"easy"
"121",0.139328063241107,0.201576923076923,3,"difficult"
"121",0.142929292929293,0.16840375,4,"very difficult"
"122",-0.108156028368794,-0.0842428229665073,1,"very easy"
"122",-0.258421985815603,-0.329052264808362,2,"easy"
"122",-0.458333333333333,-0.0359656699889257,3,"difficult"
"122",-0.458333333333333,-0.297054054054054,4,"very difficult"
"123",-0.0670289855072465,0.131048250265111,1,"very easy"
