"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"93",0.75,0.851333333333333,"other",2,"easy","color"
"93",0.833333333333333,0.75235,"self",2,"easy","color"
"93",0.791666666666667,0.832473684210526,"other",3,"difficult","color"
"93",0.916666666666667,0.831181818181818,"self",3,"difficult","color"
"93",0.666666666666667,0.8624375,"other",4,"very difficult","color"
"93",0.583333333333333,0.787714285714286,"self",4,"very difficult","color"
"94",0.833333333333333,0.87555,"other",1,"very easy","color"
"94",1,0.77475,"self",1,"very easy","color"
"94",0.708333333333333,0.855882352941176,"other",2,"easy","color"
"94",1,0.842130434782609,"self",2,"easy","color"
"94",0.541666666666667,0.830230769230769,"other",3,"difficult","color"
"94",0.958333333333333,0.856695652173913,"self",3,"difficult","color"
"94",0.25,0.758333333333333,"other",4,"very difficult","color"
"94",0.875,0.904047619047619,"self",4,"very difficult","color"
"95",0.541666666666667,0.669461538461538,"other",1,"very easy","color"
"95",0.833333333333333,0.585,"self",1,"very easy","color"
"95",0.409090909090909,0.750222222222222,"other",2,"easy","color"
"95",0.791666666666667,0.652210526315789,"self",2,"easy","color"
"95",0.291666666666667,0.724571428571429,"other",3,"difficult","color"
"95",0.833333333333333,0.6762,"self",3,"difficult","color"
"95",0.347826086956522,0.648125,"other",4,"very difficult","color"
"95",0.958333333333333,0.65704347826087,"self",4,"very difficult","color"
"96",1,0.639708333333333,"other",1,"very easy","color"
"96",0.916666666666667,0.741954545454546,"self",1,"very easy","color"
"96",0.958333333333333,0.646130434782609,"other",2,"easy","color"
"96",0.666666666666667,0.6828125,"self",2,"easy","color"
"96",0.708333333333333,0.677882352941176,"other",3,"difficult","color"
"96",0.583333333333333,0.734142857142857,"self",3,"difficult","color"
"96",0.708333333333333,0.714647058823529,"other",4,"very difficult","color"
"96",0.625,0.814333333333333,"self",4,"very difficult","color"
"97",0.791666666666667,0.786,"other",1,"very easy","color"
"97",0.916666666666667,0.830590909090909,"self",1,"very easy","color"
"97",0.791666666666667,0.879526315789474,"other",2,"easy","color"
"97",0.708333333333333,0.771764705882353,"self",2,"easy","color"
"97",0.666666666666667,0.835,"other",3,"difficult","color"
"97",0.75,0.854222222222222,"self",3,"difficult","color"
"97",0.565217391304348,0.926153846153846,"other",4,"very difficult","color"
"97",0.708333333333333,0.834529411764706,"self",4,"very difficult","color"
"98",1,0.572708333333333,"other",1,"very easy","color"
"98",0.833333333333333,0.73295,"self",1,"very easy","color"
"98",1,0.700625,"other",2,"easy","color"
"98",0.875,0.900380952380952,"self",2,"easy","color"
"98",0.958333333333333,0.766260869565217,"other",3,"difficult","color"
"98",0.708333333333333,0.895176470588235,"self",3,"difficult","color"
"98",0.916666666666667,0.888272727272727,"other",4,"very difficult","color"
"98",0.5,1.00166666666667,"self",4,"very difficult","color"
"99",0.958333333333333,0.984347826086956,"other",1,"very easy","color"
"99",1,0.940916666666667,"self",1,"very easy","color"
"99",0.904761904761905,1.21963157894737,"other",2,"easy","color"
"99",0.958333333333333,1.06765217391304,"self",2,"easy","color"
"99",0.590909090909091,1.37715384615385,"other",3,"difficult","color"
"99",0.958333333333333,1.24386956521739,"self",3,"difficult","color"
"99",0.416666666666667,1.8111,"other",4,"very difficult","color"
"99",0.708333333333333,1.70217647058824,"self",4,"very difficult","color"
"100",0.958333333333333,0.661478260869565,"other",1,"very easy","color"
"100",0.875,0.662571428571429,"self",1,"very easy","color"
"100",0.791666666666667,0.688631578947368,"other",2,"easy","color"
"100",0.666666666666667,0.655125,"self",2,"easy","color"
"100",0.75,0.751833333333333,"other",3,"difficult","color"
"100",0.75,0.704444444444444,"self",3,"difficult","color"
