"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"109",-0.240942028985507,-0.0315384615384616,4,"very difficult"
"110",0.0833333333333334,0.0284128787878789,1,"very easy"
"110",0,0.0762727272727274,2,"easy"
"110",0.125,-0.002,3,"difficult"
"110",0.166666666666667,-0.0782222222222221,4,"very difficult"
"111",0.0416666666666667,0.0887588932806325,1,"very easy"
"111",0.13768115942029,0.0359625,2,"easy"
"111",0.291666666666667,-0.0190846153846154,3,"difficult"
"111",0.278985507246377,0.158571428571429,4,"very difficult"
"112",0.166666666666667,-0.001,1,"very easy"
"112",-0.0833333333333334,0.0537333333333333,2,"easy"
"112",0.166666666666667,-0.0360112044817926,3,"difficult"
"112",-0.0416666666666666,-0.0266583333333333,4,"very difficult"
"113",-0.125,-0.142960526315789,1,"very easy"
"113",-0.125,-0.082984126984127,2,"easy"
"113",-0.125,-0.0623026315789473,3,"difficult"
"113",-0.190217391304348,-0.107923076923077,4,"very difficult"
"114",0.0416666666666667,0.0420494071146245,1,"very easy"
"114",-0.179347826086957,0.0730357142857144,2,"easy"
"114",0.16403162055336,0.0989453781512606,3,"difficult"
"114",0.0416666666666666,0.0654833333333333,4,"very difficult"
"115",0.25,-0.0326388888888888,1,"very easy"
"115",0.134057971014493,-0.013550505050505,2,"easy"
"115",0.125,0.0279444444444444,3,"difficult"
"115",0,-0.0425000000000001,4,"very difficult"
"116",-0.0416666666666667,-0.0249723320158103,1,"very easy"
"116",0.0398550724637682,0.0163636363636364,2,"easy"
"116",0.0833333333333333,0.0244891640866873,3,"difficult"
"116",0.0833333333333333,-0.0849285714285715,4,"very difficult"
"117",0,0.120583333333333,1,"very easy"
"117",0.0833333333333334,0.0390795454545455,2,"easy"
"117",0.125,0.00825555555555557,3,"difficult"
"117",0.125,0.162692307692308,4,"very difficult"
"118",-0.0833333333333334,-0.0756742424242426,1,"very easy"
"118",-0.125,-0.087171052631579,2,"easy"
"118",0,-0.0508947368421053,3,"difficult"
"118",0.0579710144927535,-0.230098214285714,4,"very difficult"
"119",0.0416666666666667,0.0641936758893281,1,"very easy"
"119",-0.0833333333333333,0.116927272727273,2,"easy"
"119",0.184782608695652,0.13142735042735,3,"difficult"
"119",0.333333333333333,0.0958749999999999,4,"very difficult"
"120",0.0833333333333334,-0.00547204968944115,1,"very easy"
"120",0.166666666666667,0.00252173913043474,2,"easy"
"120",0.25,-0.0782642857142857,3,"difficult"
"120",0.141304347826087,0.024888888888889,4,"very difficult"
"121",0.0833333333333334,-0.008273291925466,1,"very easy"
"121",0.173913043478261,0.2068625,2,"easy"
"121",0.369565217391304,0.29045,3,"difficult"
"121",0.375,0.441357142857143,4,"very difficult"
"122",-0.135869565217391,-0.121865546218487,1,"very easy"
"122",-0.125,-0.157934210526316,2,"easy"
"122",-0.125,-0.162322368421053,3,"difficult"
"122",-0.25,-0.176694444444444,4,"very difficult"
"123",-0.0452898550724639,-0.0862505175983437,1,"very easy"
"123",0.25,0.0810857142857143,2,"easy"
"123",0.333333333333333,0.0633750000000001,3,"difficult"
"123",0.0416666666666666,0.116495238095238,4,"very difficult"
