"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"40",0.476190476190476,0.476,"self",2,"easy","motion"
"40",0.428571428571429,0.665444444444445,"other",3,"difficult","motion"
"40",0.375,0.510555555555556,"self",3,"difficult","motion"
"40",0.583333333333333,0.562214285714286,"other",4,"very difficult","motion"
"40",0.681818181818182,0.526933333333333,"self",4,"very difficult","motion"
"41",0.75,0.693277777777778,"other",1,"very easy","motion"
"41",0.875,0.626857142857143,"self",1,"very easy","motion"
"41",0.708333333333333,0.687176470588235,"other",2,"easy","motion"
"41",0.666666666666667,0.67725,"self",2,"easy","motion"
"41",0.708333333333333,0.663823529411765,"other",3,"difficult","motion"
"41",0.833333333333333,0.65135,"self",3,"difficult","motion"
"41",0.541666666666667,0.784846153846154,"other",4,"very difficult","motion"
"41",0.458333333333333,0.671,"self",4,"very difficult","motion"
"42",0.695652173913043,0.7031875,"other",1,"very easy","motion"
"42",0.666666666666667,0.76375,"self",1,"very easy","motion"
"42",0.478260869565217,0.747545454545455,"other",2,"easy","motion"
"42",0.91304347826087,0.752523809523809,"self",2,"easy","motion"
"42",0.666666666666667,0.674875,"other",3,"difficult","motion"
"42",0.583333333333333,0.800142857142857,"self",3,"difficult","motion"
"42",0.458333333333333,0.736545454545455,"other",4,"very difficult","motion"
"42",0.791666666666667,0.759473684210526,"self",4,"very difficult","motion"
"43",0.833333333333333,0.7281,"other",1,"very easy","motion"
"43",0.833333333333333,0.85825,"self",1,"very easy","motion"
"43",0.833333333333333,0.8463,"other",2,"easy","motion"
"43",0.666666666666667,0.8855625,"self",2,"easy","motion"
"43",0.75,0.955277777777778,"other",3,"difficult","motion"
"43",0.833333333333333,0.7858,"self",3,"difficult","motion"
"43",0.708333333333333,0.854647058823529,"other",4,"very difficult","motion"
"43",0.666666666666667,1.000625,"self",4,"very difficult","motion"
"44",0.416666666666667,0.8531,"other",1,"very easy","motion"
"44",0.833333333333333,0.82915,"self",1,"very easy","motion"
"44",0.416666666666667,0.7291,"other",2,"easy","motion"
"44",0.791666666666667,0.745368421052632,"self",2,"easy","motion"
