"subj_idx","acc","rt","association","difficulty","group"
"97",0.782608695652174,1385.08333333333,"self","3","color"
"97",0.723404255319149,1427.94117647059,"other","4","color"
"97",0.659574468085106,1371.16129032258,"self","4","color"
"100",0.895833333333333,1006.79069767442,"other","1","color"
"100",0.916666666666667,1062.86363636364,"self","1","color"
"100",0.875,1199.04761904762,"other","2","color"
"100",0.8125,1020.64102564103,"self","2","color"
"100",0.729166666666667,1212.88571428571,"other","3","color"
"100",0.645833333333333,1233.61290322581,"self","3","color"
"100",0.729166666666667,1352.02857142857,"other","4","color"
"100",0.6875,1288.18181818182,"self","4","color"
"101",0.979166666666667,1162.87234042553,"other","1","color"
"101",0.875,1336.04761904762,"self","1","color"
"101",0.979166666666667,1348.87234042553,"other","2","color"
"101",0.8125,1432.38461538462,"self","2","color"
"101",0.936170212765957,1264.65909090909,"other","3","color"
"101",0.574468085106383,1493.44444444444,"self","3","color"
"101",0.75,1498,"other","4","color"
"101",0.270833333333333,1596.61538461538,"self","4","color"
"103",0.957446808510638,1404.66666666667,"other","1","color"
"103",0.914893617021277,1214.90697674419,"self","1","color"
"103",0.723404255319149,1471.17647058824,"other","2","color"
"103",1,1387.375,"self","2","color"
"103",0.565217391304348,1632.23076923077,"other","3","color"
"103",0.8125,1408.23076923077,"self","3","color"
"103",0.446808510638298,1487.95238095238,"other","4","color"
"103",0.791666666666667,1415,"self","4","color"
"104",0.833333333333333,1096.9,"other","1","color"
"104",0.854166666666667,1085.31707317073,"self","1","color"
"104",0.895833333333333,1152.25581395349,"other","2","color"
"104",0.75,1403.08333333333,"self","2","color"
"104",0.829787234042553,1275.35897435897,"other","3","color"
"104",0.5625,1277.55555555556,"self","3","color"
"104",0.833333333333333,1219.4,"other","4","color"
"104",0.395833333333333,1284.94736842105,"self","4","color"
"105",0.770833333333333,1262.2972972973,"other","1","color"
"105",0.875,1207.90476190476,"self","1","color"
"105",0.666666666666667,1407.40625,"other","2","color"
"105",0.791666666666667,1352.13157894737,"self","2","color"
"105",0.51063829787234,1478.33333333333,"other","3","color"
"105",0.791666666666667,1550.73684210526,"self","3","color"
"105",0.479166666666667,1360.34782608696,"other","4","color"
"105",0.708333333333333,1453.11764705882,"self","4","color"
"106",0.979166666666667,1556.76595744681,"other","1","color"
"106",0.979166666666667,1557.78723404255,"self","1","color"
"106",0.875,1768.97619047619,"other","2","color"
"106",0.916666666666667,1684.75,"self","2","color"
"106",0.75,1904.36111111111,"other","3","color"
"106",0.804347826086957,1756.2972972973,"self","3","color"
"106",0.595744680851064,1849.42857142857,"other","4","color"
"106",0.659574468085106,1783.38709677419,"self","4","color"
"107",0.91304347826087,2077.11904761905,"other","1","color"
"107",0.958333333333333,2043.21739130435,"self","1","color"
"107",0.888888888888889,2161.475,"other","2","color"
"107",0.853658536585366,2207.28571428571,"self","2","color"
"107",0.761904761904762,2282.4375,"other","3","color"
"107",0.523809523809524,2311.68181818182,"self","3","color"
"107",0.523809523809524,2307.36363636364,"other","4","color"
"107",0.717391304347826,2369.72727272727,"self","4","color"
"108",0.9375,1140.48888888889,"other","1","color"
"108",0.979166666666667,1207.82978723404,"self","1","color"
"108",0.847826086956522,1101.10256410256,"other","2","color"
"108",0.833333333333333,1191.05,"self","2","color"
"108",0.833333333333333,1330.9,"other","3","color"
"108",0.729166666666667,1315.94285714286,"self","3","color"
"108",0.770833333333333,1350,"other","4","color"
"108",0.5625,1535.85185185185,"self","4","color"
"109",0.895833333333333,1382.27906976744,"other","1","color"
"109",0.936170212765957,1317.45454545455,"self","1","color"
"109",0.826086956521739,1376.81578947368,"other","2","color"
"109",0.893617021276596,1450.97619047619,"self","2","color"
"109",0.630434782608696,1443.58620689655,"other","3","color"
"109",0.787234042553192,1450.91891891892,"self","3","color"
"109",0.630434782608696,1487.72413793103,"other","4","color"
"109",0.521739130434783,1398.20833333333,"self","4","color"
"110",1,1125.1875,"other","1","color"
"110",1,1187.0625,"self","1","color"
"110",0.958333333333333,1342.10869565217,"other","2","color"
"110",0.916666666666667,1359.04545454545,"self","2","color"
"110",0.708333333333333,1456,"other","3","color"
"110",0.854166666666667,1531.58536585366,"self","3","color"
"110",0.645833333333333,1665.38709677419,"other","4","color"
"110",0.553191489361702,1441.34615384615,"self","4","color"
"111",0.895833333333333,1155.11627906977,"other","1","color"
"111",0.958333333333333,998.586956521739,"self","1","color"
"111",0.729166666666667,1280.45714285714,"other","2","color"
"111",0.9375,1073.51111111111,"self","2","color"
"111",0.395833333333333,1205.42105263158,"other","3","color"
"111",0.875,1085.09523809524,"self","3","color"
"111",0.354166666666667,1452.29411764706,"other","4","color"
"111",0.791666666666667,1197.65789473684,"self","4","color"
"112",0.936170212765957,1631.97727272727,"other","1","color"
"112",0.916666666666667,1620.40909090909,"self","1","color"
"112",0.869565217391304,1702.925,"other","2","color"
"112",0.9375,1646.11111111111,"self","2","color"
"112",0.888888888888889,1706.625,"other","3","color"
"112",0.804347826086957,1644.7027027027,"self","3","color"
"112",0.531914893617021,1726.56,"other","4","color"
"112",0.622222222222222,1849.96428571429,"self","4","color"
"113",0.958333333333333,1479.34782608696,"other","1","color"
"113",0.9375,1443.88888888889,"self","1","color"
"113",0.854166666666667,1549.53658536585,"other","2","color"
"113",0.875,1645.61904761905,"self","2","color"
"113",0.782608695652174,1671.36111111111,"other","3","color"
"113",0.74468085106383,1682.42857142857,"self","3","color"
"113",0.553191489361702,1699.76923076923,"other","4","color"
"113",0.604166666666667,1851.65517241379,"self","4","color"
"114",0.854166666666667,1261.68292682927,"other","1","color"
"114",0.895833333333333,1043.02325581395,"self","1","color"
"114",0.760869565217391,1398.31428571429,"other","2","color"
"114",0.833333333333333,1183.2,"self","2","color"
"114",0.604166666666667,1407.58620689655,"other","3","color"
"114",0.914893617021277,1254.86046511628,"self","3","color"
"114",0.5625,1405.85185185185,"other","4","color"
"114",0.74468085106383,1415.25714285714,"self","4","color"
