"subj_idx","acc","rt","association","difficulty","group"
"105",0.791666666666667,969.578947368421,"self","4","color"
"106",1,946.958333333333,"other","1","color"
"106",0.958333333333333,878.565217391304,"self","1","color"
"106",1,1095.70833333333,"other","2","color"
"106",0.958333333333333,1060.08695652174,"self","2","color"
"106",0.875,1057.04761904762,"other","3","color"
"106",0.75,1227.83333333333,"self","3","color"
"106",0.583333333333333,1107.5,"other","4","color"
"106",0.708333333333333,1196.05882352941,"self","4","color"
"107",1,1101.08695652174,"other","1","color"
"107",0.916666666666667,1109.90909090909,"self","1","color"
"107",0.916666666666667,1124.59090909091,"other","2","color"
"107",0.791666666666667,1188.42105263158,"self","2","color"
"107",0.75,1043.44444444444,"other","3","color"
"107",0.791666666666667,1273.21052631579,"self","3","color"
"107",0.695652173913043,1418,"other","4","color"
"107",0.75,1388.83333333333,"self","4","color"
"108",0.958333333333333,685.521739130435,"other","1","color"
"108",0.708333333333333,832,"self","1","color"
"108",0.958333333333333,679,"other","2","color"
"108",0.708333333333333,811,"self","2","color"
"108",0.916666666666667,694.863636363636,"other","3","color"
"108",0.583333333333333,862.928571428571,"self","3","color"
"108",0.75,779,"other","4","color"
"108",0.541666666666667,906.230769230769,"self","4","color"
"109",1,757.041666666667,"other","1","color"
"109",0.833333333333333,786.8,"self","1","color"
"109",0.916666666666667,803.590909090909,"other","2","color"
"109",0.791666666666667,785.473684210526,"self","2","color"
"109",0.75,862,"other","3","color"
"109",0.5,1033.83333333333,"self","3","color"
"109",0.782608695652174,941,"other","4","color"
"109",0.541666666666667,972.538461538462,"self","4","color"
"110",0.916666666666667,754.454545454545,"other","1","color"
"110",1,726.041666666667,"self","1","color"
"110",0.916666666666667,816.318181818182,"other","2","color"
"110",0.916666666666667,740.045454545455,"self","2","color"
"110",0.708333333333333,844,"other","3","color"
"110",0.833333333333333,846,"self","3","color"
"110",0.583333333333333,800,"other","4","color"
"110",0.75,878.222222222222,"self","4","color"
"111",0.916666666666667,729.454545454545,"other","1","color"
"111",0.958333333333333,640.695652173913,"self","1","color"
"111",0.695652173913043,700.3125,"other","2","color"
"111",0.833333333333333,664.35,"self","2","color"
"111",0.541666666666667,724.615384615385,"other","3","color"
"111",0.833333333333333,743.7,"self","3","color"
"111",0.304347826086957,918,"other","4","color"
"111",0.583333333333333,759.428571428571,"self","4","color"
"112",0.833333333333333,834.25,"other","1","color"
"112",1,835.25,"self","1","color"
"112",0.833333333333333,884.4,"other","2","color"
"112",0.75,830.666666666667,"self","2","color"
"112",0.708333333333333,867.941176470588,"other","3","color"
"112",0.875,903.952380952381,"self","3","color"
"112",0.666666666666667,885.875,"other","4","color"
"112",0.625,912.533333333333,"self","4","color"
"113",0.791666666666667,715.789473684211,"other","1","color"
"113",0.666666666666667,858.75,"self","1","color"
"113",0.875,816.904761904762,"other","2","color"
"113",0.75,899.888888888889,"self","2","color"
"113",0.791666666666667,806.947368421053,"other","3","color"
"113",0.666666666666667,869.25,"self","3","color"
"113",0.565217391304348,869.076923076923,"other","4","color"
"113",0.375,977,"self","4","color"
"114",0.916666666666667,775.136363636364,"other","1","color"
"114",0.958333333333333,733.086956521739,"self","1","color"
"114",0.875,811.285714285714,"other","2","color"
"114",0.695652173913043,738.25,"self","2","color"
"114",0.608695652173913,868.357142857143,"other","3","color"
"114",0.772727272727273,769.411764705882,"self","3","color"
"114",0.625,927.733333333333,"other","4","color"
"114",0.666666666666667,862.25,"self","4","color"
