"subj_idx","acc","rt","association","difficulty","group"
"23",0.666666666666667,917.25,"self","2","motion"
"23",0.5,1076,"other","3","motion"
"23",0.666666666666667,909.75,"self","3","motion"
"23",0.416666666666667,1012.1,"other","4","motion"
"23",0.541666666666667,917.615384615385,"self","4","motion"
"25",0.833333333333333,720.55,"other","1","motion"
"25",0.772727272727273,551.823529411765,"self","1","motion"
"25",0.666666666666667,569.625,"other","2","motion"
"25",1,551.75,"self","2","motion"
"25",0.708333333333333,755.647058823529,"other","3","motion"
"25",0.666666666666667,664.625,"self","3","motion"
"25",0.434782608695652,775.5,"other","4","motion"
"25",0.478260869565217,659.909090909091,"self","4","motion"
"26",0.708333333333333,780.294117647059,"other","1","motion"
"26",0.75,756.5,"self","1","motion"
"26",0.75,799.555555555556,"other","2","motion"
"26",0.5,898,"self","2","motion"
"26",0.583333333333333,846.571428571429,"other","3","motion"
"26",0.625,764.466666666667,"self","3","motion"
"26",0.652173913043478,863.266666666667,"other","4","motion"
"26",0.541666666666667,933.230769230769,"self","4","motion"
"27",0.541666666666667,917.076923076923,"other","1","motion"
"27",0.75,753.055555555556,"self","1","motion"
"27",0.541666666666667,771.076923076923,"other","2","motion"
"27",0.666666666666667,743.6875,"self","2","motion"
"27",0.5,980.25,"other","3","motion"
"27",0.75,737.555555555556,"self","3","motion"
"27",0.333333333333333,920.375,"other","4","motion"
"27",0.625,789,"self","4","motion"
"28",0.75,945.166666666667,"other","1","motion"
"28",0.625,968.333333333333,"self","1","motion"
"28",0.666666666666667,917.5625,"other","2","motion"
"28",0.666666666666667,915.5,"self","2","motion"
"28",0.833333333333333,899.95,"other","3","motion"
"28",0.458333333333333,863.181818181818,"self","3","motion"
"28",0.625,864.733333333333,"other","4","motion"
"28",0.333333333333333,992.5,"self","4","motion"
"29",0.708333333333333,913.764705882353,"other","1","motion"
"29",0.875,720.333333333333,"self","1","motion"
"29",0.625,956.266666666667,"other","2","motion"
"29",0.666666666666667,825.5,"self","2","motion"
"29",0.625,911.8,"other","3","motion"
"29",0.791666666666667,771.842105263158,"self","3","motion"
"29",0.666666666666667,879.1875,"other","4","motion"
"29",0.5,775.25,"self","4","motion"
"30",0.708333333333333,938.352941176471,"other","1","motion"
"30",0.875,865.952380952381,"self","1","motion"
"30",0.708333333333333,944.294117647059,"other","2","motion"
"30",0.791666666666667,840.473684210526,"self","2","motion"
"30",0.625,960.933333333333,"other","3","motion"
"30",0.875,864.47619047619,"self","3","motion"
"30",0.5,1065.33333333333,"other","4","motion"
"30",0.708333333333333,1110.17647058824,"self","4","motion"
"31",0.708333333333333,1669.94117647059,"other","1","motion"
"31",0.916666666666667,1635.63636363636,"self","1","motion"
"31",0.708333333333333,1717.29411764706,"other","2","motion"
"31",0.833333333333333,1673.05,"self","2","motion"
"31",0.583333333333333,1683.42857142857,"other","3","motion"
"31",0.833333333333333,1670.9,"self","3","motion"
"31",0.458333333333333,1717.18181818182,"other","4","motion"
"31",0.541666666666667,1718.53846153846,"self","4","motion"
"33",0.916666666666667,574.727272727273,"other","1","motion"
"33",0.541666666666667,598.461538461538,"self","1","motion"
"33",0.875,536.380952380952,"other","2","motion"
"33",0.541666666666667,708.076923076923,"self","2","motion"
"33",0.833333333333333,540.85,"other","3","motion"
"33",0.521739130434783,699.25,"self","3","motion"
"33",0.583333333333333,551.928571428571,"other","4","motion"
"33",0.5,770.166666666667,"self","4","motion"
"34",0.791666666666667,1015.94736842105,"other","1","motion"
"34",0.75,1257.05555555556,"self","1","motion"
"34",0.625,1222.06666666667,"other","2","motion"
"34",0.625,1245.86666666667,"self","2","motion"
"34",0.75,1225.61111111111,"other","3","motion"
"34",0.708333333333333,1219.64705882353,"self","3","motion"
"34",0.5,1310.41666666667,"other","4","motion"
"34",0.708333333333333,1414.29411764706,"self","4","motion"
"35",0.708333333333333,1029.58823529412,"other","1","motion"
"35",0.869565217391304,923.45,"self","1","motion"
"35",0.625,1061.53333333333,"other","2","motion"
"35",0.75,1088.55555555556,"self","2","motion"
"35",0.666666666666667,965.5,"other","3","motion"
"35",0.75,1080,"self","3","motion"
"35",0.625,1097.86666666667,"other","4","motion"
"35",0.666666666666667,1091.9375,"self","4","motion"
"36",0.75,830.611111111111,"other","1","motion"
"36",0.791666666666667,971.473684210526,"self","1","motion"
"36",0.583333333333333,1017.57142857143,"other","2","motion"
"36",0.416666666666667,1106.9,"self","2","motion"
"36",0.625,999.4,"other","3","motion"
"36",0.739130434782609,1082.88235294118,"self","3","motion"
"36",0.666666666666667,939.3125,"other","4","motion"
"36",0.375,1105.11111111111,"self","4","motion"
"37",0.708333333333333,692.352941176471,"other","1","motion"
"37",0.708333333333333,785.058823529412,"self","1","motion"
"37",0.75,733.888888888889,"other","2","motion"
"37",0.5,863.583333333333,"self","2","motion"
"37",0.708333333333333,833.235294117647,"other","3","motion"
"37",0.541666666666667,777,"self","3","motion"
"37",0.541666666666667,923.692307692308,"other","4","motion"
"37",0.583333333333333,860.285714285714,"self","4","motion"
"38",0.75,693.5,"other","1","motion"
"38",0.541666666666667,829.153846153846,"self","1","motion"
"38",0.791666666666667,720.315789473684,"other","2","motion"
"38",0.375,754.111111111111,"self","2","motion"
"38",0.833333333333333,710.2,"other","3","motion"
"38",0.541666666666667,905.461538461538,"self","3","motion"
"38",0.583333333333333,814.571428571429,"other","4","motion"
"38",0.5,958.666666666667,"self","4","motion"
"39",0.833333333333333,657.45,"other","1","motion"
"39",0.791666666666667,803.105263157895,"self","1","motion"
"39",0.708333333333333,686.235294117647,"other","2","motion"
"39",0.625,855.4,"self","2","motion"
"39",0.708333333333333,687.235294117647,"other","3","motion"
"39",0.833333333333333,805.35,"self","3","motion"
"39",0.5,716.833333333333,"other","4","motion"
"39",0.541666666666667,797.153846153846,"self","4","motion"
"41",0.75,693.277777777778,"other","1","motion"
"41",0.875,626.857142857143,"self","1","motion"
"41",0.708333333333333,687.176470588235,"other","2","motion"
"41",0.666666666666667,677.25,"self","2","motion"
"41",0.708333333333333,663.823529411765,"other","3","motion"
"41",0.833333333333333,651.35,"self","3","motion"
"41",0.541666666666667,784.846153846154,"other","4","motion"
"41",0.458333333333333,671,"self","4","motion"
"42",0.695652173913043,703.1875,"other","1","motion"
"42",0.666666666666667,763.75,"self","1","motion"
"42",0.478260869565217,747.545454545455,"other","2","motion"
"42",0.91304347826087,752.52380952381,"self","2","motion"
"42",0.666666666666667,674.875,"other","3","motion"
"42",0.583333333333333,800.142857142857,"self","3","motion"
"42",0.458333333333333,736.545454545455,"other","4","motion"
"42",0.791666666666667,759.473684210526,"self","4","motion"
"43",0.833333333333333,728.1,"other","1","motion"
"43",0.833333333333333,858.25,"self","1","motion"
"43",0.833333333333333,846.3,"other","2","motion"
"43",0.666666666666667,885.5625,"self","2","motion"
"43",0.75,955.277777777778,"other","3","motion"
"43",0.833333333333333,785.8,"self","3","motion"
"43",0.708333333333333,854.647058823529,"other","4","motion"
"43",0.666666666666667,1000.625,"self","4","motion"
"44",0.416666666666667,853.1,"other","1","motion"
"44",0.833333333333333,829.15,"self","1","motion"
"44",0.416666666666667,790.444444444444,"other","2","motion"
"44",0.791666666666667,745.368421052632,"self","2","motion"
"44",0.416666666666667,841.2,"other","3","motion"
"44",0.791666666666667,746.736842105263,"self","3","motion"
"44",0.478260869565217,1112.63636363636,"other","4","motion"
"44",0.625,783.733333333333,"self","4","motion"
