"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"28","motion",945.166666666667,968.333333333333,917.5625,915.5,899.95,863.181818181818,864.733333333333,992.5,0.75,0.625,0.666666666666667,0.666666666666667,0.833333333333333,0.458333333333333,0.625,0.333333333333333
"29","motion",913.764705882353,720.333333333333,956.266666666667,825.5,911.8,771.842105263158,879.1875,775.25,0.708333333333333,0.875,0.625,0.666666666666667,0.625,0.791666666666667,0.666666666666667,0.5
"30","motion",938.352941176471,865.952380952381,944.294117647059,840.473684210526,960.933333333333,864.47619047619,1065.33333333333,1110.17647058824,0.708333333333333,0.875,0.708333333333333,0.791666666666667,0.625,0.875,0.5,0.708333333333333
"31","motion",1669.94117647059,1635.63636363636,1717.29411764706,1673.05,1683.42857142857,1670.9,1717.18181818182,1718.53846153846,0.708333333333333,0.916666666666667,0.708333333333333,0.833333333333333,0.583333333333333,0.833333333333333,0.458333333333333,0.541666666666667
"33","motion",574.727272727273,598.461538461538,536.380952380952,708.076923076923,540.85,699.25,551.928571428571,770.166666666667,0.916666666666667,0.541666666666667,0.875,0.541666666666667,0.833333333333333,0.521739130434783,0.583333333333333,0.5
"34","motion",1015.94736842105,1257.05555555556,1222.06666666667,1245.86666666667,1225.61111111111,1219.64705882353,1310.41666666667,1414.29411764706,0.791666666666667,0.75,0.625,0.625,0.75,0.708333333333333,0.5,0.708333333333333
"35","motion",1029.58823529412,923.45,1061.53333333333,1088.55555555556,965.5,1080,1097.86666666667,1091.9375,0.708333333333333,0.869565217391304,0.625,0.75,0.666666666666667,0.75,0.625,0.666666666666667
"36","motion",830.611111111111,971.473684210526,1017.57142857143,1106.9,999.4,1082.88235294118,939.3125,1105.11111111111,0.75,0.791666666666667,0.583333333333333,0.416666666666667,0.625,0.739130434782609,0.666666666666667,0.375
"37","motion",692.352941176471,785.058823529412,733.888888888889,863.583333333333,833.235294117647,777,923.692307692308,860.285714285714,0.708333333333333,0.708333333333333,0.75,0.5,0.708333333333333,0.541666666666667,0.541666666666667,0.583333333333333
"38","motion",693.5,829.153846153846,720.315789473684,754.111111111111,710.2,905.461538461538,814.571428571429,958.666666666667,0.75,0.541666666666667,0.791666666666667,0.375,0.833333333333333,0.541666666666667,0.583333333333333,0.5
"39","motion",657.45,803.105263157895,686.235294117647,855.4,687.235294117647,805.35,716.833333333333,797.153846153846,0.833333333333333,0.791666666666667,0.708333333333333,0.625,0.708333333333333,0.833333333333333,0.5,0.541666666666667
"41","motion",693.277777777778,626.857142857143,687.176470588235,677.25,663.823529411765,651.35,784.846153846154,671,0.75,0.875,0.708333333333333,0.666666666666667,0.708333333333333,0.833333333333333,0.541666666666667,0.458333333333333
"42","motion",703.1875,763.75,747.545454545455,752.52380952381,674.875,800.142857142857,736.545454545455,759.473684210526,0.695652173913043,0.666666666666667,0.478260869565217,0.91304347826087,0.666666666666667,0.583333333333333,0.458333333333333,0.791666666666667
"43","motion",728.1,858.25,846.3,885.5625,955.277777777778,785.8,854.647058823529,1000.625,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667,0.75,0.833333333333333,0.708333333333333,0.666666666666667
"44","motion",853.1,829.15,790.444444444444,745.368421052632,841.2,746.736842105263,1112.63636363636,783.733333333333,0.416666666666667,0.833333333333333,0.416666666666667,0.791666666666667,0.416666666666667,0.791666666666667,0.478260869565217,0.625
